Index,English_Discription,Tag
71,"Set 22 w 1 Bun (Vermicelli with minced pork, Double Cooked Sliced Pork, Sweet & Sour Cabbage",chinese
72,"Set 22 w Rice (Vermicelli with minced pork, Double Cooked Sliced Pork, Sweet & Sour Cabbage",pork
72,"Set 22 w Rice (Vermicelli with minced pork, Double Cooked Sliced Pork, Sweet & Sour Cabbage",rice
72,"Set 22 w Rice (Vermicelli with minced pork, Double Cooked Sliced Pork, Sweet & Sour Cabbage",chinese
73,"Set 23 w 1 Bun (Vermicelli with minced pork, Fried Cucumber with eggs, Mixed shreds",pork
73,"Set 23 w 1 Bun (Vermicelli with minced pork, Fried Cucumber with eggs, Mixed shreds",bun
73,"Set 23 w 1 Bun (Vermicelli with minced pork, Fried Cucumber with eggs, Mixed shreds",chinese
74,"Set 23 w 2 Buns (Vermicelli with minced pork, Fried Cucumber with eggs, Mixed shreds",pork
74,"Set 23 w 2 Buns (Vermicelli with minced pork, Fried Cucumber with eggs, Mixed shreds",bun
74,"Set 23 w 2 Buns (Vermicelli with minced pork, Fried Cucumber with eggs, Mixed shreds",chinese
75,"Set 24 w 1 Bun (Cumin Beef, Kung Pao Chicken, Fried Chinese cabbage",beef
75,"Set 24 w 1 Bun (Cumin Beef, Kung Pao Chicken, Fried Chinese cabbage",chicken
75,"Set 24 w 1 Bun (Cumin Beef, Kung Pao Chicken, Fried Chinese cabbage",bun
75,"Set 24 w 1 Bun (Cumin Beef, Kung Pao Chicken, Fried Chinese cabbage",chinese
76,"Set 24 w Rice (Cumin Beef, Kung Pao Chicken, Fried Chinese cabbage",beef
76,"Set 24 w Rice (Cumin Beef, Kung Pao Chicken, Fried Chinese cabbage",chicken
76,"Set 24 w Rice (Cumin Beef, Kung Pao Chicken, Fried Chinese cabbage",rice
76,"Set 24 w Rice (Cumin Beef, Kung Pao Chicken, Fried Chinese cabbage",chinese
77,"Set 3 w 1 Bun (Sauteed Sour Beans with Minced Pork, Fried Cucumber with Eggs, Dry Tofu with Celery",sour
77,"Set 3 w 1 Bun (Sauteed Sour Beans with Minced Pork, Fried Cucumber with Eggs, Dry Tofu with Celery",pork
77,"Set 3 w 1 Bun (Sauteed Sour Beans with Minced Pork, Fried Cucumber with Eggs, Dry Tofu with Celery",bun
77,"Set 3 w 1 Bun (Sauteed Sour Beans with Minced Pork, Fried Cucumber with Eggs, Dry Tofu with Celery",chinese
78,"Set 3 w 2 Buns (Sauteed Sour Beans with Minced Pork, Fried Cucumber with Eggs, Dry Tofu with Celery",sour
78,"Set 3 w 2 Buns (Sauteed Sour Beans with Minced Pork, Fried Cucumber with Eggs, Dry Tofu with Celery",pork
78,"Set 3 w 2 Buns (Sauteed Sour Beans with Minced Pork, Fried Cucumber with Eggs, Dry Tofu with Celery",bun
78,"Set 3 w 2 Buns (Sauteed Sour Beans with Minced Pork, Fried Cucumber with Eggs, Dry Tofu with Celery",chinese
79,"Set 3 w Rice (Sauteed Sour Beans with Minced Pork, Fried Cucumber with Eggs, Dry Tofu with Celery",sour
79,"Set 3 w Rice (Sauteed Sour Beans with Minced Pork, Fried Cucumber with Eggs, Dry Tofu with Celery",pork
79,"Set 3 w Rice (Sauteed Sour Beans with Minced Pork, Fried Cucumber with Eggs, Dry Tofu with Celery",rice
79,"Set 3 w Rice (Sauteed Sour Beans with Minced Pork, Fried Cucumber with Eggs, Dry Tofu with Celery",chinese
80,"Set 4 w 1 Bun (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",spicy
80,"Set 4 w 1 Bun (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",sour
80,"Set 4 w 1 Bun (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",pork
80,"Set 4 w 1 Bun (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",fish
